cfg,id,providers_jsd,providers_decision,Delta_norm,Delta_decision,n_frag
omit_DP3,Q0159,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0122,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0069,0.12956647479975522,alert,31260000000.0,alert,4
omit_DP3,Q0129,,no_data,15599999999.999998,alert,0
omit_DP3,Q0112,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0158,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0143,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0123,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0077,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0093,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0149,0.12956647479975522,alert,18149999999.999996,alert,4
omit_DP3,Q0140,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0108,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0170,,no_data,15.8747199372533,alert,0
omit_DP3,Q0157,0.1427349636447312,alert,11.119254310907403,alert,3
omit_DP3,Q0148,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0154,0.12956647479975522,alert,15650000000.0,alert,4
omit_DP3,Q0091,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0153,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0175,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0156,0.32154289716587525,alert,15599999999.999998,alert,1
omit_DP3,Q0145,0.12956647479975522,alert,8.225782249163373,alert,4
omit_DP3,Q0070,0.12956647479975522,alert,8.225782249163373,alert,4
partial_DP1,Q0142,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0075,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0064,0.1302096370388875,alert,10.275360709843346,alert,2
partial_DP1,Q0155,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0096,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0092,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0089,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0078,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0177,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0074,0.32251415256024707,alert,18.885326523435474,alert,1
partial_DP1,Q0147,0.14886175312958855,alert,9.146257649503333,alert,3
partial_DP1,Q0172,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0130,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0072,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0136,,no_data,15.8747199372533,alert,0
partial_DP1,Q0115,0.31081312631338465,alert,17.55933159235423,alert,1
partial_DP1,Q0065,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0178,0.1302096370388875,alert,10.275360709843346,alert,2
partial_DP1,Q0167,0.13729441859646566,alert,8.83505866444768,alert,2
partial_DP1,Q0088,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0090,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0125,0.010773974710291945,ok,3.2749223973765775,ok,5
partial_DP1,Q0138,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0163,0.14350549492538694,alert,15619999999.999998,alert,3
partial_DP1,Q0132,0.32251415256024707,alert,18.885326523435474,alert,1
partial_DP1,Q0086,0.1302096370388875,alert,9.318606062108069,alert,4
partial_DP1,Q0152,0.010773974710291945,ok,6509999999.999999,alert,5
partial_DP1,Q0144,0.32251415256024707,alert,18.885326523435474,alert,1
